52	0
84	52
45	136
93	181
80	274
57	354
68	411
88	479
48	567
76	615
73	691
43	764
119	807
39	926
84	965
104	1049
61	1153
34	1214
65	1248
42	1313
42	1355
95	1397
16	1492
70	1508
111	1578
125	1689
84	1814
87	1898
57	1985
45	2042
67	2087
65	2154
62	2219
59	2281
28	2340
90	2368
63	2458
60	2521
97	2581
36	2678
81	2714
99	2795
100	2894
67	2994
74	3061
113	3135
83	3248
99	3331
54	3430
79	3484
94	3563
81	3657
55	3738
99	3793
89	3892
23	3981
72	4004
61	4076
84	4137
96	4221
74	4317
107	4391
106	4498
137	4604
119	4741
124	4860
75	4984
189	5059
85	5248
122	5333
97	5455
67	5552
106	5619
74	5725
92	5799
47	5891
132	5938
83	6070
48	6153
72	6201
46	6273
62	6319
77	6381
85	6458
117	6543
149	6660
88	6809
116	6897
199	7013
110	7212
200	7322
112	7522
58	7634
111	7692
110	7803
77	7913
103	7990
80	8093
47	8173
37	8220
71	8257
15	8328
41	8343
71	8384
74	8455
87	8529
43	8616
80	8659
34	8739
92	8773
57	8865
103	8922
66	9025
48	9091
52	9139
14	9191
31	9205
67	9236
70	9303
54	9373
20	9427
132	9447
75	9579
61	9654
22	9715
54	9737
24	9791
76	9815
31	9891
119	9922
39	10041
91	10080
59	10171
43	10230
129	10273
110	10402
98	10512
160	10610
88	10770
88	10858
69	10946
71	11015
135	11086
122	11221
36	11343
127	11379
20	11506
69	11526
182	11595
67	11777
36	11844
143	11880
163	12023
69	12186
116	12255
140	12371
66	12511
38	12577
78	12615
148	12693
84	12841
35	12925
50	12960
24	13010
155	13034
