6	10	10	57	69	52	5	70	50	26	68	5	32	43	13	30	41	34	10	9	6	28	14	7	5	5	53	25
90	80	999	10	90	70	90	100	150	70	20	70	70	90	60	120	10	10	40	10	20	28	20	20	30	30	30	15
10	60	40	60	70	50	30	80	1	10	0	10	20	40	6	50	10	30	0	17	15	2	60	90	20	76	65	85
49	150	83	126	85	114	116	125	93	97	95	78	141	150	130	0	1	0	0	0	0	0	0	0	0	0	0	0
60	50	10	0	60	70	60	60	40	65	50	70	60	60	60	30	50	100	90	90	90	50	80	20	80	85	100	100
18	75	40	120	75	75	75	50	75	99	10	30	100	100	110	75	0	5	0	10	0	30	0	0	0	0	40	5
0	5	0	90	60	0	0	0	0	0	0	90	0	70	50	0	0	0	0	0	0	0	0	0	0	0	0	3
50	90	40	60	70	70	60	60	60	60	60	50	40	60	50	30	90	100	40	40	60	40	40	90	40	100	110	120
78	94	5	34	63	76	74	78	62	78	114	42	78	123	134	120	5	5	6	8	6	8	5	6	6	5	4	5
5	15	2	5	18	10	14	25	7	7	5	7	28	33	30	27	1	1	0	0	0	0	1	0	0	0	1	1
60	80	20	70	10	20	10	70	35	50	5	1	70	70	70	70	5	10	0	0	10	0	0	30	0	5	5	10
40	80	0	40	80	60	0	40	0	60	70	0	0	80	60	50	90	60	80	0	20	0	0	0	0	50	60	130
21	7	10	5	67	95	50	48	78	10	22	94	44	70	45	81	3	60	24	10	61	60	4	4	5	26	72	70
100	140	20	130	150	150	140	75	75	150	150	150	70	115	140	50	10	0	0	0	0	0	0	10	0	10	0	0
0	0	0	0	0	0	55	0	0	0	0	0	0	70	50	0	0	0	0	0	0	0	0	0	0	0	0	0
10	75	0	75	0	0	0	0	75	20	0	0	75	0	75	75	0	0	0	0	0	0	0	0	0	0	0	0
10	10	10	3	35	50	10	10	20	5	20	0	70	90	90	40	0	0	0	0	10	0	0	0	0	0	10	0
0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	100	20	140	70	120	60	0	0	10	40	120	110
65	80	66	43	68	83	65	92	68	68	71	62	84	83	85	85	3	3	3	1	3	5	3	3	2	3	3	4
0	100	0	0	0	0	0	0	0	0	0	0	97	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0
20	20	0	0	30	40	20	30	30	50	50	0	40	30	0	999	30	0	0	0	30	0	0	0	20	0	0	0
80	98	40	30	88	70	60	70	70	90	70	70	50	50	60	0	0	0	0	0	0	0	0	0	0	0	0	0
120	130	120	80	110	120	110	120	110	130	130	100	100	140	120	120	0	0	0	0	0	0	0	0	0	0	0	0
1	100	5	1	10	10	10	80	80	40	10	2	80	80	75	2	2	1	2	2	2	2	2	2	2	2	5	2
0	35	118	2	1	0	2	1	4	2	1	2	1	3	2	2	100	78	0	3	2	99	3	61	2	104	101	81
80	120	70	1	150	150	115	149	90	115	115	0	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	130	140	0	0	0	0	150	150	150	150	150	0	0	0	0	0	150	0	0	0	0	0	0	0
0	119	1	0	110	0	0	0	0	0	134	0	130	113	132	1	110	94	0	0	0	0	0	0	0	118	129	123
0	90	0	40	110	90	70	100	90	100	100	130	90	100	100	80	0	0	0	0	80	0	0	0	0	0	0	0
0	34	0	0	115	44	116	84	115	25	7	11	108	126	80	115	0	0	0	0	0	0	0	0	0	0	0	14
50	80	30	30	60	70	50	100	60	70	70	40	40	60	70	80	40	20	0	10	0	0	0	30	1	20	30	10
0	50	0	0	20	0	0	0	0	0	0	0	50	60	30	0	10	0	20	0	0	0	0	0	0	30	40	40
20	40	0	0	60	38	20	40	0	40	40	20	60	76	70	70	0	0	0	1	0	0	0	0	0	0	0	0
30	30	0	10	30	30	10	30	30	40	30	5	30	30	30	30	30	50	5	50	50	50	0	0	0	50	30	30
0	0	50	0	0	0	70	120	40	30	70	0	0	0	40	0	100	80	110	100	130	0	0	120	90	90	80	80
90	110	30	20	40	40	130	100	30	70	110	110	100	120	40	110	0	0	0	0	0	0	0	0	0	0	0	0
90	30	0	0	30	70	110	90	40	100	110	100	90	90	60	90	40	0	0	20	0	20	0	10	0	10	30	100
70	100	10	0	80	50	80	50	90	80	70	20	70	60	30	60	20	20	10	0	0	0	0	0	0	0	40	0
30	75	0	0	60	80	80	40	20	40	40	30	50	100	80	80	0	0	0	0	0	0	0	0	0	0	0	0
10	70	20	0	90	80	84	74	80	93	60	0	30	108	20	100	0	0	0	0	0	0	0	0	0	0	0	0
40	50	20	50	60	30	70	60	30	50	40	0	60	60	80	60	5	10	0	5	10	10	0	0	0	10	10	5
150	105	51	150	52	77	84	42	42	91	150	150	39	43	41	87	0	0	0	0	22	0	0	0	0	12	8	21
10	10	10	10	20	20	20	15	45	30	10	20	15	20	10	15	45	50	40	50	70	80	10	20	35	20	30	40
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	140	0	0	0	0	0	0	0	0	0	0
20	100	0	0	0	0	0	0	60	30	0	0	50	80	90	60	0	0	0	0	0	0	0	0	0	0	0	0
2	108	4	2	2	70	72	70	3	118	71	3	125	106	98	97	5	2	3	2	2	3	3	5	5	3	1	3
20	50	6	10	40	30	30	75	70	50	100	75	75	70	30	50	20	3	3	1	78	60	0	50	1	5	10	60
120	150	110	120	110	110	130	150	120	100	130	100	150	90	105	150	0	0	0	0	0	0	0	0	0	0	0	0
115	120	115	80	80	80	80	70	70	85	70	15	50	70	70	105	0	8	0	0	15	0	0	0	0	0	0	5
20	10	30	0	30	30	30	30	30	40	20	10	20	20	20	20	0	1	0	0	0	0	0	0	0	0	0	0
40	30	0	0	50	30	40	20	20	70	40	70	20	80	90	20	30	10	80	0	10	50	0	10	0	70	50	30
50	44	8	66	55	58	62	85	80	132	141	66	132	135	76	88	2	2	0	0	0	0	30	0	2	0	2	0
0	110	0	40	40	30	40	40	10	10	60	0	0	70	0	70	150	150	20	0	30	0	20	0	0	100	140	150
60	60	60	0	90	90	90	80	100	60	60	60	80	80	80	80	0	0	0	10	10	10	0	0	0	0	0	0
90	100	90	80	100	100	100	100	90	140	120	40	80	90	100	80	0	0	0	0	0	0	0	0	0	0	0	0
90	120	80	0	90	90	90	120	140	90	10	110	90	120	120	110	0	0	0	0	0	0	0	0	10	0	0	0
60	30	40	20	40	50	40	40	40	80	90	20	80	130	100	20	50	20	20	0	30	10	0	0	0	0	40	60
100	110	60	10	110	100	90	90	90	90	110	80	90	100	100	100	30	0	10	0	0	0	0	0	0	24	20	20
40	70	30	60	20	30	0	0	30	50	70	30	20	40	50	60	10	0	40	0	40	30	0	0	0	0	20	0
90	100	30	20	80	100	80	100	80	80	100	30	100	80	100	100	0	0	0	0	0	0	0	0	0	0	0	0
40	60	10	10	30	61	20	60	40	30	80	70	30	40	60	60	30	40	20	40	20	20	30	90	20	90	70	50
10	80	20	40	40	20	70	90	50	80	80	90	60	60	80	30	0	0	0	0	0	0	0	10	0	0	0	10
60	70	0	30	70	80	90	40	30	60	70	30	70	50	50	70	0	0	0	0	0	0	0	0	0	20	20	20
10	50	10	0	40	0	0	0	0	40	50	0	60	80	30	40	0	0	0	20	0	10	40	40	0	0	0	30
80	110	0	10	80	42	0	20	20	10	90	50	0	120	60	0	0	0	0	0	0	0	0	0	0	0	0	0
70	20	50	50	150	125	145	5	0	1	40	55	40	5	50	60	0	0	0	0	5	0	20	0	25	25	0	20
120	110	100	120	130	90	90	100	80	100	110	80	120	130	120	140	0	0	0	0	0	0	0	0	0	10	0	0
4	3	2	2	109	2	3	140	109	3	100	2	3	2	110	100	2	4	3	1	4	3	3	2	4	4	2	3
119	139	130	109	130	69	99	119	129	137	136	137	139	116	138	120	10	10	9	10	10	9	10	10	10	10	10	10
20	0	0	0	121	130	110	100	110	30	50	20	20	110	20	110	50	100	100	80	110	90	0	0	0	90	90	30
36	52	63	15	84	72	72	53	35	62	52	34	72	71	82	44	92	63	7	7	84	123	7	7	6	114	103	104
20	80	20	20	60	80	80	60	80	102	100	0	80	100	80	80	10	10	10	10	20	40	10	20	0	40	10	40
150	0	0	0	0	0	0	0	0	150	0	0	0	150	150	0	0	0	0	0	0	0	0	150	150	0	0	0
94	87	88	110	75	107	72	74	100	100	110	90	87	105	50	75	104	61	17	20	50	36	45	10	20	32	103	45
0	40	0	0	0	30	20	1	10	0	40	0	30	20	50	0	0	0	0	0	0	0	0	0	0	0	0	0
10	80	0	0	30	90	30	70	10	30	90	80	20	30	40	30	0	0	0	0	0	0	0	0	0	10	10	20
0	50	0	0	30	49	30	0	0	40	75	0	50	60	75	60	0	0	0	0	20	10	0	0	0	10	10	20
999	79	80	999	999	100	90	70	999	999	40	70	100	99	90	118	0	999	0	0	0	0	0	0	0	0	10	999
0	0	0	0	75	75	0	0	0	0	75	0	35	0	75	0	75	0	0	35	150	75	0	0	0	75	124	125
120	120	80	140	140	150	120	100	90	150	150	20	140	120	100	100	0	10	0	0	0	0	0	0	0	0	0	0
0	30	0	0	50	70	0	0	0	50	90	0	0	50	0	60	0	0	0	0	0	0	0	0	0	50	40	20
40	20	30	10	50	30	40	20	60	30	40	50	40	40	60	30	10	10	60	110	100	80	10	10	10	10	90	100
0	148	0	1	0	1	1	1	1	1	0	0	147	148	149	147	1	0	1	0	1	1	0	1	0	0	0	1
80	121	80	71	72	72	72	72	89	71	70	78	114	84	120	69	0	0	0	0	0	0	0	0	0	0	1	0
70	90	90	80	80	80	100	100	100	90	110	110	0	70	75	90	0	0	0	0	0	0	0	0	0	0	0	30
30	100	90	0	100	100	110	120	120	50	90	30	80	70	130	70	0	0	0	0	0	0	0	0	0	0	0	0
86	100	80	77	93	100	90	101	108	90	100	77	120	136	130	120	1	0	2	1	1	1	3	1	1	1	2	2
52	6	7	42	79	62	11	63	42	72	42	52	78	80	6	72	42	32	5	7	7	79	22	5	5	52	52	5
3	9	2	4	10	13	7	11	5	5	4	3	24	26	21	14	0	0	0	0	1	0	1	0	1	1	1	0
80	80	10	110	10	10	30	30	0	80	5	0	30	30	30	30	0	10	0	0	10	0	0	10	0	10	10	0
55	85	55	75	85	95	75	85	75	75	95	85	84	85	85	85	16	5	5	15	15	5	5	5	5	35	6	25
40	120	60	100	60	40	70	80	20	40	100	0	0	80	60	80	130	110	0	0	0	10	10	40	20	80	40	100
90	89	40	20	80	59	70	110	90	90	0	40	110	70	100	90	20	20	10	0	20	0	20	0	10	20	20	10
70	20	30	20	40	40	40	40	60	90	70	40	80	109	80	40	30	20	30	7	30	20	0	10	0	20	50	100
90	100	25	10	100	77	75	90	110	85	70	80	70	80	75	70	40	25	20	0	0	0	0	0	0	30	25	25
17	78	33	5	84	86	12	65	78	90	50	23	65	65	11	36	67	34	10	6	30	33	20	2	13	10	53	48
20	61	50	40	0	20	20	10	0	30	30	10	20	30	40	71	20	0	0	0	0	10	10	10	0	0	20	10
0	59	0	0	0	0	0	0	0	38	0	0	41	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0
10	80	0	80	30	60	30	50	40	70	50	50	0	40	20	60	30	30	20	30	30	20	30	50	30	80	90	80
0	10	0	0	20	10	20	20	10	10	0	10	50	50	30	40	0	0	0	0	0	0	0	10	0	0	0	0
60	50	30	50	100	90	90	50	0	50	50	0	50	50	30	70	20	0	0	0	0	0	0	0	0	20	20	30
10	80	0	0	0	10	0	0	10	50	20	20	80	110	110	50	0	0	0	0	0	0	30	20	0	0	0	0
70	95	0	85	150	85	150	80	100	150	130	10	80	85	100	20	55	5	0	0	3	10	0	0	0	0	0	50
80	110	0	65	120	0	10	10	20	41	27	0	0	63	75	0	0	0	0	0	0	0	0	0	0	0	0	0
25	15	0	50	130	135	120	25	10	0	0	100	2	55	1	0	15	15	0	10	80	40	0	0	0	0	5	15
130	90	90	80	110	105	100	100	80	130	90	70	120	140	100	110	0	0	0	0	0	0	0	0	0	20	0	0
3	88	4	3	1	2	2	120	70	3	3	3	2	2	3	70	4	80	3	2	3	4	5	2	5	4	4	2
98	89	0	10	90	80	30	99	90	147	129	20	108	110	119	110	10	10	10	10	10	10	0	10	0	10	10	10
40	20	0	0	100	100	120	100	130	0	30	0	0	90	0	100	50	50	95	0	20	30	0	0	0	0	0	50
82	52	72	24	72	94	72	55	44	64	45	25	72	82	84	35	55	65	7	12	82	114	5	6	7	85	72	85
20	60	10	0	80	80	40	120	80	100	120	20	100	100	100	80	20	0	20	10	70	20	0	10	10	20	30	80
150	150	0	0	150	0	0	150	0	0	150	0	0	150	0	0	150	0	0	0	0	0	0	0	0	0	0	0
120	90	48	118	90	70	90	120	90	90	75	72	90	120	118	90	20	100	10	10	22	10	15	7	10	8	55	50
0	80	0	0	0	0	0	110	0	0	0	0	0	140	0	80	0	0	0	0	0	0	0	0	0	0	0	0
0	30	0	0	10	30	0	0	10	10	20	0	30	50	40	30	0	0	0	0	10	0	0	0	0	20	0	30
135	140	20	70	135	120	20	130	80	130	110	0	130	130	140	140	0	0	0	0	0	0	0	0	0	0	0	0
0	30	10	0	20	40	20	20	20	0	60	30	0	10	20	20	0	0	0	0	0	0	0	0	0	30	10	50
0	30	0	0	84	80	60	0	30	70	60	60	65	60	30	60	0	20	0	0	20	0	0	30	0	0	0	60
78	79	80	90	128	108	80	99	90	90	80	50	80	118	118	100	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	75	75	0	0	0	75	75	0	55	55	0	0	75	35	0	125	150	150	0	0	0	75	115	150
80	100	100	90	150	150	130	90	80	150	120	40	90	120	120	100	20	0	0	0	0	0	0	0	0	10	90	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	70	0	50	50	0	20	0	70	50	70
0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
50	10	40	10	40	10	30	40	40	30	40	60	40	40	40	40	60	10	40	90	60	90	10	10	10	30	80	80
0	141	1	1	0	1	0	0	1	1	1	1	140	145	141	140	0	0	0	0	1	0	1	0	1	1	1	1
112	145	80	121	82	80	80	81	80	87	95	83	70	71	140	79	0	0	0	0	0	0	0	0	0	0	0	0
40	70	80	0	80	80	0	90	80	100	90	100	50	70	60	80	0	0	0	0	0	0	0	0	0	30	30	20
30	70	70	40	60	90	80	40	110	130	70	30	40	70	70	50	0	0	0	0	0	0	0	0	0	10	0	0
78	95	60	77	100	80	80	82	80	89	79	70	120	126	125	124	2	1	2	0	1	1	2	1	0	2	2	5
10	10	10	0	20	40	30	20	10	10	15	60	80	100	70	80	0	0	0	0	0	0	0	0	0	0	0	3
